Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
0.909091	4.61786
1.81818	4.6387
2.72727	4.67402
3.63636	4.72471
4.54545	4.79307
5.45455	4.87938
6.36364	4.9869
7.27273	5.11949
8.18182	5.2823
9.09091	5.48238
10	5.73217
10.9091	6.04553
11.8182	6.45085
12.7273	6.99671
13.6364	7.78064
14.5455	9.0855
15.4545	12.4728
16.3636	10.9649
17.2727	8.60302
18.1818	7.08683
19.0909	5.93458
20	4.87327
20.9091	3.9312
21.8182	3.09523
22.7273	2.09068
23.6364	1.32787
24.5455	0.637301
25.4545	-0.177632
26.3636	-1.39232
27.2727	-1.44857
28.1818	-2.11989
29.0909	-2.61796
30	-3.11062
30.9091	-3.01633
31.8182	-3.17056
32.7273	-3.41445
33.6364	-3.38753
34.5455	-3.32296
35.4545	-3.24732
36.3636	-3.20592
37.2727	-2.96962
38.1818	-2.78027
39.0909	-2.50998
40	-2.30171
40.9091	-2.05395
41.8182	-1.87616
42.7273	-1.67957
43.6364	-1.47895
44.5455	-1.3203
45.4545	-1.17683
46.3636	-1.0326
47.2727	-0.917216
48.1818	-0.809344
49.0909	-0.717314
50	-0.63209
50.9091	-0.552829
51.8182	-0.48733
52.7273	-0.424798
53.6364	-0.369105
54.5455	-0.320059
55.4545	-0.276955
56.3636	-0.238007
57.2727	-0.202434
58.1818	-0.169351
59.0909	-0.138306
60	-0.106669
60.9091	-0.0781351
61.8182	-0.055748
62.7273	-0.0346831
63.6364	-0.0143014
64.5455	0.00248944
65.4545	0.017398
66.3636	0.0329066
67.2727	0.0457144
68.1818	0.0596611
69.0909	0.0690855
70	0.0780064
70.9091	0.0896052
71.8182	0.0987065
72.7273	0.105108
73.6364	0.112693
74.5455	0.121652
75.4545	0.125871
76.3636	0.132119
77.2727	0.136343
78.1818	0.140645
79.0909	0.143349
80	0.147993
80.9091	0.153439
81.8182	0.15506
82.7273	0.15774
83.6364	0.162738
84.5455	0.163489
85.4545	0.166174
86.3636	0.171035
87.2727	0.174232
88.1818	0.176819
89.0909	0.177182
90	0.178422
90.9091	0.182209
91.8182	0.18522
92.7273	0.186028
93.6364	0.187251
94.5455	0.191735
95.4545	0.193353
96.3636	0.192781
97.2727	0.189935
98.1818	0.196225
99.0909	0.200331
100	0.201277
100.909	0.203898
101.818	0.205109
102.727	0.204713
103.636	0.203669
104.545	0.203241
105.455	0.205058
106.364	0.20875
107.273	0.211674
108.182	0.212935
109.091	0.213829
110	0.215281
110.909	0.216551
111.818	0.216916
112.727	0.217338
113.636	0.219256
114.545	0.222043
115.455	0.223716
116.364	0.224237
117.273	0.225501
118.182	0.227865
119.091	0.229177
120	0.228445
120.909	0.22803
121.818	0.23016
122.727	0.233255
123.636	0.234437
124.545	0.234173
125.455	0.235048
126.364	0.237288
127.273	0.238824
128.182	0.239052
129.091	0.239693
130	0.241724
130.909	0.243755
131.818	0.244385
132.727	0.244534
133.636	0.24594
134.545	0.248571
135.455	0.251268
136.364	0.253479
137.273	0.255087
138.182	0.256211
139.091	0.257316
140	0.258648
140.909	0.259867
141.818	0.260733
142.727	0.261956
143.636	0.264442
144.545	0.267419
145.455	0.268983
146.364	0.269233
147.273	0.270155
148.182	0.272523
149.091	0.274691
150	0.2759
150.909	0.277338
151.818	0.280317
152.727	0.284029
153.636	0.286863
154.545	0.288439
155.455	0.28912
156.364	0.289356
157.273	0.289803
158.182	0.291079
159.091	0.293942
160	0.298359
160.909	0.302458
161.818	0.304478
162.727	0.304782
163.636	0.304709
164.545	0.305748
165.455	0.309474
166.364	0.315042
167.273	0.318922
168.182	0.32006
169.091	0.321416
170	0.324684
170.909	0.327818
171.818	0.328695
172.727	0.328659
173.636	0.330399
174.545	0.334094
175.455	0.338396
176.364	0.342247
177.273	0.34441
178.182	0.344865
179.091	0.345063
180	0.34627
180.909	0.349853
181.818	0.35554
182.727	0.361157
183.636	0.363826
184.545	0.364937
185.455	0.368706
186.364	0.374897
187.273	0.378734
188.182	0.378874
189.091	0.379249
190	0.382636
190.909	0.3881
191.818	0.393839
192.727	0.398633
193.636	0.401682
194.545	0.403916
195.455	0.407554
196.364	0.412791
197.273	0.418063
198.182	0.422624
199.091	0.426023
200	0.42869
200.909	0.432412
201.818	0.438345
202.727	0.444851
203.636	0.448957
204.545	0.451373
205.455	0.455098
206.364	0.460764
207.273	0.466837
208.182	0.472481
209.091	0.477139
210	0.481635
210.909	0.487409
211.818	0.495708
212.727	0.504725
213.636	0.511662
214.545	0.516789
215.455	0.522405
216.364	0.529406
217.273	0.537556
218.182	0.54616
219.091	0.553647
220	0.559568
220.909	0.565949
221.818	0.575268
222.727	0.587004
223.636	0.599451
224.545	0.611161
225.455	0.620592
226.364	0.628324
227.273	0.63796
228.182	0.651215
229.091	0.666214
230	0.681647
230.909	0.698001
231.818	0.715708
232.727	0.733147
233.636	0.74846
234.545	0.763277
235.455	0.782547
236.364	0.807069
237.273	0.834702
238.182	0.864753
239.091	0.899815
240	0.94034
240.909	0.981247
241.818	1.0366
242.727	1.10414
243.636	1.20581
244.545	1.2669
245.455	1.3214
246.364	1.60659
247.273	1.71123
248.182	1.88006
249.091	1.40103
250	1.2129
250.909	1.08867
251.818	0.994711
252.727	0.91875
253.636	0.85473
254.545	0.799499
255.455	0.750847
256.364	0.707343
257.273	0.668053
258.182	0.632225
259.091	0.599316
260	0.568879
260.909	0.540646
261.818	0.514244
262.727	0.48954
263.636	0.466334
264.545	0.44446
265.455	0.42379
266.364	0.404198
267.273	0.385614
268.182	0.36794
269.091	0.351104
270	0.335041
270.909	0.319694
271.818	0.305012
272.727	0.290933
273.636	0.277448
274.545	0.264504
275.455	0.252068
276.364	0.24011
277.273	0.228601
278.182	0.217516
279.091	0.206832
280	0.196527
280.909	0.186581
281.818	0.177011
282.727	0.167731
283.636	0.158767
284.545	0.150089
285.455	0.141693
286.364	0.133561
287.273	0.125688
288.182	0.118058
289.091	0.110664
290	0.103494
290.909	0.0965402
291.818	0.0897787
292.727	0.0832295
293.636	0.076871
294.545	0.070692
295.455	0.064699
296.364	0.0588701
297.273	0.053205
298.182	0.0476906
299.091	0.0423353
300	0.037127
300.909	0.0320617
301.818	0.0271319
302.727	0.0223344
303.636	0.0176647
304.545	0.0131187
305.455	0.00869303
306.364	0.00437944
307.273	0.000181202
308.182	-0.00390872
309.091	-0.00789034
310	-0.0117735
310.909	-0.0155572
311.818	-0.0192449
312.727	-0.0228396
313.636	-0.0263439
314.545	-0.0297605
315.455	-0.033092
316.364	-0.0363422
317.273	-0.0395106
318.182	-0.0426009
319.091	-0.0456091
320	-0.0485497
320.909	-0.0514185
321.818	-0.0542179
322.727	-0.056949
323.636	-0.0596139
324.545	-0.0622144
325.455	-0.0647523
326.364	-0.0672348
327.273	-0.0696522
328.182	-0.0720118
329.091	-0.0743149
330	-0.0765658
330.909	-0.0787603
331.818	-0.0808996
332.727	-0.082991
333.636	-0.0850327
334.545	-0.087026
335.455	-0.088972
336.364	-0.0908719
337.273	-0.0927269
338.182	-0.0945379
