Energy[eV]	Img
0.111111	-0.000236714
0.222222	-0.000111683
0.333333	-7.37356e-05
0.444444	-5.51229e-05
0.555556	-4.40409e-05
0.666667	-3.66809e-05
0.777778	-3.14365e-05
0.888889	-2.75091e-05
1	-2.44589e-05
1.11111	-2.20218e-05
1.22222	-2.00292e-05
1.33333	-1.837e-05
1.44444	-1.69678e-05
1.55556	-1.57673e-05
1.66667	-1.47278e-05
1.77778	-1.38188e-05
1.88889	-1.30182e-05
2	-1.23067e-05
2.11111	-1.16714e-05
2.22222	-1.11005e-05
2.33333	-1.05842e-05
2.44444	-1.01159e-05
2.55556	-9.6888e-06
2.66667	-9.29743e-06
2.77778	-8.93937e-06
2.88889	-8.60788e-06
3	-8.30243e-06
3.11111	-8.01933e-06
3.22222	-7.7562e-06
3.33333	-7.51097e-06
3.44444	-7.28248e-06
3.55556	-7.06883e-06
3.66667	-6.868e-06
3.77778	-6.68062e-06
3.88889	-6.50426e-06
4	-6.33784e-06
4.11111	-6.18054e-06
4.22222	-6.03486e-06
4.33333	-5.89706e-06
4.44444	-5.76693e-06
4.55556	-5.64624e-06
4.66667	-5.53534e-06
4.77778	-5.42465e-06
4.88889	-5.30064e-06
5	-5.18818e-06
5.11111	-5.0801e-06
5.22222	-4.97352e-06
5.33333	-4.84299e-06
5.44444	-4.79712e-06
5.55556	-4.7247e-06
5.66667	-4.65224e-06
5.77778	-4.58165e-06
5.88889	-4.51422e-06
6	-4.449e-06
6.11111	-4.38651e-06
6.22222	-4.32762e-06
6.33333	-4.27006e-06
6.44444	-4.21587e-06
6.55556	-4.16761e-06
6.66667	-4.11471e-06
6.77778	-4.0697e-06
6.88889	-4.02084e-06
7	-3.98022e-06
7.11111	-3.93968e-06
7.22222	-3.90985e-06
7.33333	-3.86832e-06
7.44444	-3.83839e-06
7.55556	-3.81337e-06
7.66667	-3.77845e-06
7.77778	-3.75068e-06
7.88889	-3.73047e-06
8	-3.70829e-06
8.11111	-3.69152e-06
8.22222	-3.67776e-06
8.33333	-3.67765e-06
8.44444	-3.66651e-06
8.55556	-3.40401e-06
8.66667	6.99286e-06
8.77778	4.08735e-05
8.88889	0.00010483
9	0.000214846
9.11111	0.000357443
9.22222	0.000502883
9.33333	0.000651715
9.44444	0.000797624
9.55556	0.000915562
9.66667	0.000947122
9.77778	0.000930922
9.88889	0.00089053
10	0.000856431
10.1111	0.000857471
10.2222	0.000886687
10.3333	0.000913276
10.4444	0.000908394
10.5556	0.000878941
10.6667	0.000843949
10.7778	0.00080405
10.8889	0.000759307
11	0.000747575
11.1111	0.000791196
11.2222	0.000869404
11.3333	0.000988666
11.4444	0.00117576
11.5556	0.00125222
11.6667	0.00126822
11.7778	0.00125045
11.8889	0.00122876
12	0.00125033
12.1111	0.00127791
12.2222	0.00130621
12.3333	0.00133799
12.4444	0.00139797
12.5556	0.00151157
12.6667	0.00156407
12.7778	0.00162689
12.8889	0.00167437
13	0.00171367
13.1111	0.00174849
13.2222	0.00177678
13.3333	0.00179007
13.4444	0.00178995
13.5556	0.00178283
13.6667	0.00177058
13.7778	0.00175774
13.8889	0.00174431
14	0.00172936
14.1111	0.00171337
14.2222	0.00169747
14.3333	0.00168166
14.4444	0.00166592
14.5556	0.00165032
14.6667	0.00163525
14.7778	0.0016201
14.8889	0.00160421
15	0.00158694
15.1111	0.00156823
15.2222	0.00154881
15.3333	0.00152901
15.4444	0.00150921
15.5556	0.00148972
15.6667	0.00147054
15.7778	0.00145162
15.8889	0.00143297
16	0.00141458
16.1111	0.00139644
16.2222	0.00137855
16.3333	0.0013609
16.4444	0.00134349
16.5556	0.00132625
16.6667	0.00130884
16.7778	0.00129123
16.8889	0.00127343
17	0.0012555
17.1111	0.00123652
17.2222	0.00121627
17.3333	0.00119599
17.4444	0.00117684
17.5556	0.00115966
17.6667	0.00114317
