Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
15.9	0.00142814
15.92	0.00139137
15.94	0.00135857
15.96	0.00132894
15.98	0.00130194
16	0.00127714
16.02	0.00125423
16.04	0.00123293
16.06	0.00121305
16.08	0.0011944
16.1	0.00117684
16.12	0.00116022
16.14	0.00114441
16.16	0.00112933
16.18	0.00111487
16.2	0.00110099
16.22	0.00108761
16.24	0.00107471
16.26	0.00106221
16.28	0.0010501
16.3	0.00103834
16.32	0.00102692
16.34	0.0010158
16.36	0.00100499
16.38	0.000994451
16.4	0.000984182
16.42	0.000974162
16.44	0.000964381
16.46	0.000954822
16.48	0.000945478
16.5	0.00093634
16.52	0.000927399
16.54	0.000918636
16.56	0.000910055
16.58	0.000901639
16.6	0.000893386
16.62	0.000885293
16.64	0.000877346
16.66	0.000869538
16.68	0.000861872
16.7	0.000854336
16.72	0.000846931
16.74	0.000839647
16.76	0.000832484
16.78	0.00082544
16.8	0.000818507
16.82	0.000811682
16.84	0.000804963
16.86	0.000798344
16.88	0.000791821
16.9	0.000785397
16.92	0.000779066
16.94	0.000772817
16.96	0.00076665
16.98	0.000760563
17	0.000754548
17.02	0.000748603
17.04	0.000742718
17.06	0.000736895
17.08	0.000731133
17.1	0.000725421
17.12	0.000719761
17.14	0.000714152
17.16	0.000708598
17.18	0.000703077
17.2	0.000697603
17.22	0.000692186
17.24	0.000686811
17.26	0.000681474
17.28	0.000676181
17.3	0.000670931
17.32	0.000665721
17.34	0.000660555
17.36	0.000655425
17.38	0.00065034
17.4	0.000645293
17.42	0.00064028
17.44	0.000635307
17.46	0.000630371
17.48	0.000625471
17.5	0.000620612
17.52	0.000615786
17.54	0.000610998
17.56	0.000606242
17.58	0.000601526
17.6	0.000596843
17.62	0.000592195
17.64	0.000587585
17.66	0.000583011
17.68	0.000578475
17.7	0.000573981
17.72	0.000569523
17.74	0.000565109
17.76	0.000560731
17.78	0.000556399
17.8	0.000552116
17.82	0.000547873
17.84	0.000543673
17.86	0.000539515
17.88	0.0005354
17.9	0.000531323
17.92	0.000527282
17.94	0.000523274
17.96	0.000519296
17.98	0.000515341
18	0.000511404
18.02	0.000507484
18.04	0.000503573
18.06	0.00049967
18.08	0.000495772
18.1	0.000491879
18.12	0.000487993
18.14	0.000484109
18.16	0.000480229
18.18	0.000476355
18.2	0.000472488
18.22	0.000468638
18.24	0.000464807
18.26	0.000460997
18.28	0.000457217
18.3	0.000453469
18.32	0.000449752
18.34	0.000446072
18.36	0.000442428
18.38	0.000438821
18.4	0.000435251
18.42	0.000431715
18.44	0.000428213
18.46	0.000424743
18.48	0.000421302
18.5	0.000417885
18.52	0.000414493
18.54	0.000411112
18.56	0.000407741
18.58	0.000404377
18.6	0.000401017
18.62	0.000397665
18.64	0.000394313
18.66	0.000390963
18.68	0.000387613
18.7	0.000384266
18.72	0.000380924
18.74	0.000377587
18.76	0.000374205
18.78	0.000370948
18.8	0.000367649
18.82	0.000364372
18.84	0.000361116
18.86	0.000357884
18.88	0.000354679
18.9	0.000351503
18.92	0.000348361
18.94	0.000345245
18.96	0.000342158
18.98	0.000339102
19	0.000336072
19.02	0.000333072
19.04	0.000330093
19.06	0.000327139
19.08	0.000324199
19.1	0.000321273
19.12	0.000318357
19.14	0.000315449
19.16	0.000312545
19.18	0.000309643
19.2	0.000306746
19.22	0.000303849
19.24	0.000300956
19.26	0.000298063
19.28	0.000295173
19.3	0.000292283
19.32	0.000289397
19.34	0.000286516
19.36	0.000283646
19.38	0.000280784
19.4	0.000277934
19.42	0.0002751
19.44	0.000272283
19.46	0.000269491
19.48	0.000266714
19.5	0.000263968
19.52	0.000261238
19.54	0.000258535
19.56	0.000255856
19.58	0.000253193
19.6	0.000250558
19.62	0.000247946
19.64	0.000245364
19.66	0.000242784
19.68	0.000240238
19.7	0.000237703
19.72	0.000235177
19.74	0.000232667
19.76	0.000230169
19.78	0.000227683
19.8	0.000225206
19.82	0.000222732
19.84	0.000220269
19.86	0.000217811
19.88	0.000215362
19.9	0.000212918
19.92	0.000210479
19.94	0.000208047
19.96	0.000205619
19.98	0.000203198
20	0.000200782
20.02	0.000198371
20.04	0.000195968
20.06	0.000193569
20.08	0.000191176
20.1	0.000188789
20.12	0.000186408
20.14	0.000184033
20.16	0.000181664
20.18	0.0001793
20.2	0.000176942
20.22	0.00017459
20.24	0.000172244
20.26	0.000169903
20.28	0.000167569
20.3	0.00016524
20.32	0.000162915
20.34	0.000160598
20.36	0.000158287
20.38	0.000155982
