Data table for Imaginary Im[epsilon] and real componets Re[epsilon] for Argon gas
Re and Im values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4	Im*1e4
0	-nan	2	8.44091
0	-nan	3	9.02684
0	-nan	4	9.71487
0	-nan	5	10.5382
0	-nan	6	11.5496
0	-nan	7	12.8371
0	-nan	8	14.568
0	-nan	9	17.1212
0	-nan	10	21.7057
0	-nan	11	39.2448
0	-nan	12	7.90788
0	-nan	13	11.0139
0	-nan	14	29.6349
0	-nan	15	16.0006
0	-nan	16	11.5129
0	-nan	17	7.26862
0	-nan	18	3.88723
0	-nan	19	0.778053
0	-nan	20	-1.56013
0	-nan	21	-3.6555
0	-nan	22	-5.56025
0	-nan	23	-7.53203
0	-nan	24	-8.92193
0	-nan	25	-10.1754
0	-nan	26	-11.9888
0	-nan	27	-13.1047
0	-nan	28	-13.1715
0	-nan	29	-13.7769
0	-nan	30	-14.2492
0	-nan	31	-13.5534
0	-nan	32	-13.4013
0	-nan	33	-13.3201
0	-nan	34	-12.8098
0	-nan	35	-12.1512
0	-nan	36	-11.7046
0	-nan	37	-11.0683
0	-nan	38	-10.4161
0	-nan	39	-9.70058
0	-nan	40	-9.02612
0	-nan	41	-8.46847
0	-nan	42	-7.96283
0	-nan	43	-7.46787
0	-nan	44	-7.00895
0	-nan	45	-6.62516
0	-nan	46	-6.26223
0	-nan	47	-5.94026
0	-nan	48	-5.65757
0	-nan	49	-5.40221
0	-nan	50	-5.17103
0	-nan	51	-4.95772
0	-nan	52	-4.76892
0	-nan	53	-4.59256
0	-nan	54	-4.43199
0	-nan	55	-4.28598
0	-nan	56	-4.15157
0	-nan	57	-4.02664
0	-nan	58	-3.90963
0	-nan	59	-3.79932
0	-nan	60	-3.69286
0	-nan	61	-3.5936
0	-nan	62	-3.50396
0	-nan	63	-3.41833
0	-nan	64	-3.3375
0	-nan	65	-3.26287
0	-nan	66	-3.19086
0	-nan	67	-3.12334
0	-nan	68	-3.05789
0	-nan	69	-2.99599
0	-nan	70	-2.93816
0	-nan	71	-2.88137
0	-nan	72	-2.82667
0	-nan	73	-2.77641
0	-nan	74	-2.7256
0	-nan	75	-2.67846
0	-nan	76	-2.63316
0	-nan	77	-2.58934
0	-nan	78	-2.54806
0	-nan	79	-2.50738
0	-nan	80	-2.46858
0	-nan	81	-2.43103
0	-nan	82	-2.39271
0	-nan	83	-2.35721
0	-nan	84	-2.3233
0	-nan	85	-2.29105
0	-nan	86	-2.25736
0	-nan	87	-2.22474
0	-nan	88	-2.19383
0	-nan	89	-2.16499
0	-nan	90	-2.13643
0	-nan	91	-2.1072
0	-nan	92	-2.07908
0	-nan	93	-2.05251
0	-nan	94	-2.02718
0	-nan	95	-2.00047
0	-nan	96	-1.97581
0	-nan	97	-1.95417
0	-nan	98	-1.92917
0	-nan	99	-1.90356
0	-nan	100	-1.88141
0	-nan	101	-1.85852
0	-nan	102	-1.83754
0	-nan	103	-1.8173
0	-nan	104	-1.79805
0	-nan	105	-1.77856
0	-nan	106	-1.75744
0	-nan	107	-1.7385
0	-nan	108	-1.71761
0	-nan	109	-1.69912
0	-nan	110	-1.68093
0	-nan	111	-1.66308
0	-nan	112	-1.64611
0	-nan	113	-1.62921
0	-nan	114	-1.61124
0	-nan	115	-1.59457
0	-nan	116	-1.57855
0	-nan	117	-1.56282
0	-nan	118	-1.54676
0	-nan	119	-1.53125
0	-nan	120	-1.51726
0	-nan	121	-1.50318
0	-nan	122	-1.48776
0	-nan	123	-1.47302
0	-nan	124	-1.45942
0	-nan	125	-1.4459
0	-nan	126	-1.43245
0	-nan	127	-1.41882
0	-nan	128	-1.40612
0	-nan	129	-1.3935
0	-nan	130	-1.38065
0	-nan	131	-1.36789
0	-nan	132	-1.35606
0	-nan	133	-1.34428
0	-nan	134	-1.3323
0	-nan	135	-1.31996
0	-nan	136	-1.30797
0	-nan	137	-1.29661
0	-nan	138	-1.28537
0	-nan	139	-1.27454
0	-nan	140	-1.26377
0	-nan	141	-1.25321
0	-nan	142	-1.24298
0	-nan	143	-1.23262
0	-nan	144	-1.22182
0	-nan	145	-1.21134
0	-nan	146	-1.20181
0	-nan	147	-1.19228
0	-nan	148	-1.18265
0	-nan	149	-1.17281
0	-nan	150	-1.16363
0	-nan	151	-1.15439
0	-nan	152	-1.14462
0	-nan	153	-1.13486
0	-nan	154	-1.12553
0	-nan	155	-1.11717
0	-nan	156	-1.10905
0	-nan	157	-1.10107
0	-nan	158	-1.09293
0	-nan	159	-1.08314
0	-nan	160	-1.07512
0	-nan	161	-1.06657
0	-nan	162	-1.05787
0	-nan	163	-1.05099
0	-nan	164	-1.04381
0	-nan	165	-1.03573
0	-nan	166	-1.02719
0	-nan	167	-1.01859
0	-nan	168	-1.01152
0	-nan	169	-1.00412
0	-nan	170	-0.996636
0	-nan	171	-0.989317
0	-nan	172	-0.981755
0	-nan	173	-0.974983
0	-nan	174	-0.968779
0	-nan	175	-0.960863
0	-nan	176	-0.953945
0	-nan	177	-0.947014
0	-nan	178	-0.940873
0	-nan	179	-0.935021
0	-nan	180	-0.9289
0	-nan	181	-0.922037
0	-nan	182	-0.914431
0	-nan	183	-0.90728
0	-nan	184	-0.901298
0	-nan	185	-0.895309
0	-nan	186	-0.888649
0	-nan	187	-0.883
0	-nan	188	-0.876795
0	-nan	189	-0.869893
0	-nan	190	-0.863381
0	-nan	191	-0.858
0	-nan	192	-0.851313
0	-nan	193	-0.84509
0	-nan	194	-0.839539
0	-nan	195	-0.834007
0	-nan	196	-0.827885
0	-nan	197	-0.821639
0	-nan	198	-0.815571
0	-nan	199	-0.810111
0	-nan	200	-0.804895
0	-nan	201	-0.798719
0	-nan	202	-0.793186
0	-nan	203	-0.788015
0	-nan	204	-0.782008
0	-nan	205	-0.777085
0	-nan	206	-0.771575
0	-nan	207	-0.765766
0	-nan	208	-0.760124
0	-nan	209	-0.754831
0	-nan	210	-0.74943
0	-nan	211	-0.744157
0	-nan	212	-0.737818
0	-nan	213	-0.731764
0	-nan	214	-0.726399
0	-nan	215	-0.721083
0	-nan	216	-0.716066
0	-nan	217	-0.710425
0	-nan	218	-0.704586
0	-nan	219	-0.699077
0	-nan	220	-0.694132
0	-nan	221	-0.689062
